username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-08-20 17:27;0;1;"Please donate as much u want from 10Rs to as many you want. I have already done my bit now its your turn. Paytm and many other payment options available in below link: #KeralaFlood #KeralaRain Devastating nature destroying all... https:// donation.cmdrf.kerala.gov.in /";;;#KeralaFlood #KeralaRain;"1031510487748370433";https://twitter.com/iamhsandhu/status/1031510487748370433
;2018-08-20 17:27;0;0;"@Gautham_Karthik saw your Tamil post for #keralaflood from London pic.twitter.com/OH7NqghVTZ";;@Gautham_Karthik;#keralaflood;"1031510439379841025";https://twitter.com/ruginthan1/status/1031510439379841025
;2018-08-20 17:20;1;0;"#resources Please note the liat of transporters from #bangalore to #alldistricts please make uae of this to help #keralaflood #KeralaFloodRelief https:// twitter.com/vinayaravind/s tatus/1031501219989053441 …";;;#resources #bangalore #alldistricts #keralaflood #KeralaFloodRelief;"1031508855044354049";https://twitter.com/ResourcesKerala/status/1031508855044354049
;2018-08-20 17:19;176;161;"#KeralaFlood #KeralaFloodRelief #KeralaFloods2018 #Kerala Missionaries see your suffering as an opportunity to convert ..... this is official statement from @Pontifex ... people also call him Pope @HMOIndia @sambitswaraj @KirenRijiju pic.twitter.com/hNAXLnq3d2";;@Pontifex @HMOIndia @sambitswaraj @KirenRijiju;#KeralaFlood #KeralaFloodRelief #KeralaFloods2018 #Kerala;"1031508394300006401";https://twitter.com/noconversion/status/1031508394300006401
;2018-08-20 17:07;0;0;"#KeralaFlood #DutyFree Relief materials are stuck at Airport due to customs duty and integrated tax. Only Relief Materials imported by Red Cross Society and charitable organizations is exempted. This will hinder the flow of relief materials from outside India. @ShashiTharoor";;@ShashiTharoor;#KeralaFlood #DutyFree;"1031505440469868544";https://twitter.com/MartinaThampan/status/1031505440469868544
;2018-08-20 17:06;3;5;"The most beautiful city of India #Kerala is suffering.. Join hands with @NASSCOMfdn in helping them, as a small contribution from your side can save a life. http:// mykartavya.nasscomfoundation.org/kerala-flood-r elief/ … #KeralaFloodRelief #KeralaFloodsRelief #KeralaFlood @MyKartavya";;@NASSCOMfdn @MyKartavya;#Kerala #KeralaFloodRelief #KeralaFloodsRelief #KeralaFlood;"1031505291483983872";https://twitter.com/Iam_shatsharma/status/1031505291483983872
;2018-08-20 17:01;0;0;"we will definitely survive. The whole country now looks down upon us how we are gonna survive. For one thing iam sure the unity we had during the last days and the support from good hearted souls will surely help us to survive #keralaflood #keralasurvives";;;#keralaflood #keralasurvives;"1031504069871849472";https://twitter.com/ANJIMASADASIVA1/status/1031504069871849472
;2018-08-20 16:57;1;1;"Chief Minister's Distress Relief Fund accepts a contribution from Individuals, Organisations, Trusts, Companies, and Institutions. Donations now accepted through #UPI Mobile app like #BHIM , #PAYTM , #Tez , #Phonepe . #KeralaReliefFund #keralaflood #prayforkerala @vijayanpinarayi pic.twitter.com/bDcKdNRVf2";;@vijayanpinarayi;#UPI #BHIM #PAYTM #Tez #Phonepe #KeralaReliefFund #keralaflood #prayforkerala;"1031503043513274372";https://twitter.com/INCLGROUP/status/1031503043513274372
;2018-08-20 16:49;0;1;"Hey @TwitterSupport @verified @TwitterIndia I would like to report on this verified account member of yours making fun about #KeralaFlood #KathuaRape and attack on #UmarKhalid . Hope you atleast remove the verified tick mark from her account!! https:// twitter.com/BhaavnaArora/s tatus/1031087793454440448 …";;@TwitterSupport @verified @TwitterIndia;#KeralaFlood #KathuaRape #UmarKhalid;"1031500884558135296";https://twitter.com/YadavBatman/status/1031500884558135296
;2018-08-20 16:45;13;42;"#KeralaFloods | From Delhi's Kerala Bhawan, students list essentials for flood survivors https://www. ndtv.com/india-news/ker ala-floods-from-delhis-kerala-bhawan-students-list-essentials-for-flood-survivors-1903268 … Follow updates here: http:// goo.gl/w7M8Dg Here’s how you can help #KeralaFlood victims: http:// goo.gl/rGiu99 pic.twitter.com/95LJ7E8IJx";;;#KeralaFloods #KeralaFlood;"1031499940868964352";https://twitter.com/ndtv/status/1031499940868964352
;2018-08-20 16:36;1;7;"A scene from #Thrissur in #Kerala . As some of those who were rescued found it difficult to climb onto a boat, a fisherman voluntarily kneeled down, so that they could use his back as a step. #Humanity #KeralaFlood #KeralaFloodRelief #KeralaFloods pic.twitter.com/N5biTZuGql";;;#Thrissur #Kerala #Humanity #KeralaFlood #KeralaFloodRelief #KeralaFloods;"1031497605757296640";https://twitter.com/iranna_zalki/status/1031497605757296640
;2018-08-20 16:35;0;0;"Apart from food, clothes, cooking utensils and medicines needed in a lot of places of #KeralaFlood effected area. Still a lot to do. Now that water is retrieving from home. Everything has been destroyed by this unprecedented flood.";;;#KeralaFlood;"1031497484735000577";https://twitter.com/Badshaass/status/1031497484735000577
;2018-08-20 16:30;1;1;"And communist scums want ppl from all over India to come to Kerala for rescue operation while their own politicians are enjoying holidays abroad #KeralaFlood";;;#KeralaFlood;"1031496153081307136";https://twitter.com/NaMo_4_PM/status/1031496153081307136
